"id","mem","mem_free","processors","instance_uptime","uptime","systemload_average","heap_committed","heap_init","heap_used","heap","nonheap_committed","nonheap_init","nonheap_used","nonheap","threads_peak","threads_total_started","threads","classes","classes_loaded","classes_unloaded","gc_ps_scavenge_count","gc_ps_scavenge_time","gc_ps_marksweep_count","gc_ps_marksweep_time","httpsessions_max","httpsessions_active","gauge_response_test","counter_status200test","counter_status500test","updated_time"
2,"126438","14405","4","624388","632916",-1.0,"70144","65536","55738","913920","59840","2496","56316","0","27","32","27","6206","6206","0","200","1260","1","71",-1,"0","64.0","94460",,2019-03-27 01:38:38
3,"119780","28368","4","655492","664020",-1.0,"62464","65536","34095","913920","60008","2496","57316","0","27","32","27","6265","6265","0","268","1464","1","71",-1,"0","18.0","113952",,2019-03-27 01:39:08
4,"117966","17001","4","685682","694209",-1.0,"60416","65536","43414","913920","60008","2496","57550","0","27","32","27","6265","6265","0","347","1654","1","71",-1,"0","19.0","134458",,2019-03-27 01:39:39
5,"190141","109032","4","716107","724636",-1.0,"132608","65536","23575","913920","60264","2496","57533","0","27","32","27","6265","6265","0","385","1763","2","401",-1,"0","32.0","155584",,2019-03-27 01:40:09
6,"224060","46138","4","746233","754761",-1.0,"166400","65536","120261","913920","60264","2496","57660","0","27","32","27","6265","6265","0","403","1828","2","401",-1,"0","14.0","176387",,2019-03-27 01:40:39
7,"257815","145581","4","776385","784913",-1.0,"200192","65536","54610","913920","60264","2496","57623","0","27","32","27","6265","6265","0","418","1884","2","401",-1,"0","22.0","197969",,2019-03-27 01:41:09
8,"278782","68630","4","806632","815160",-1.0,"221184","65536","152553","913920","60264","2496","57598","0","27","32","27","6265","6265","0","429","1924","2","401",-1,"0","25.0","219176",,2019-03-27 01:41:40
9,"301861","71837","4","836744","845272",-1.0,"244224","65536","172386","913920","60264","2496","57637","0","27","32","27","6265","6265","0","439","1964","2","401",-1,"0","17.0","240323",,2019-03-27 01:42:10
10,"321321","42314","4","866870","875398",-1.0,"264192","65536","221877","913920","60264","2496","57129","0","27","32","27","6266","6266","0","448","1994","2","401",-1,"0","18.0","261923",,2019-03-27 01:42:40
11,"339266","186906","4","896984","905512",-1.0,"282112","65536","95205","913920","60264","2496","57154","0","27","32","27","6266","6266","0","457","2034","2","401",-1,"0","21.0","283431",,2019-03-27 01:43:10
